Time	Conc
2244.5	0.00456
2244.542	0.00455
2244.583	0.00455
2244.625	0.00455
2244.667	0.00455
2244.708	0.00455
2244.75	0.00455
2244.792	0.00455
2244.833	0.00455
2244.875	0.00455
2244.917	0.00455
2244.958	0.00455
2245	0.00455
2245.042	0.00455
2245.083	0.00455
2245.125	0.00454
2245.167	0.00454
2245.208	0.00454
2245.25	0.00454
2245.292	0.00454
2245.333	0.00454
2245.375	0.00454
2245.417	0.00454
2245.458	0.00454
2245.5	0.00453
2245.542	0.00453
2245.583	0.00453
2245.625	0.00453
2245.667	0.00453
2245.708	0.00453
2245.75	0.00453
2245.792	0.00452
2245.833	0.00452
2245.875	0.00452
2245.917	0.00452
2245.958	0.00452
2246	0.00452
2246.042	0.00452
2246.083	0.00451
2246.125	0.00451
2246.167	0.00451
2246.208	0.00451
2246.25	0.00451
2246.292	0.0045
2246.333	0.0045
2246.375	0.0045
2246.417	0.0045
2246.458	0.0045
2246.5	0.0045
2246.542	0.00449
2246.583	0.00449
2246.625	0.00449
2246.667	0.00449
2246.708	0.00449
2246.75	0.00448
2246.792	0.00448
2246.833	0.00448
2246.875	0.00448
2246.917	0.00447
2246.958	0.00447
2247	0.00447
2247.042	0.00447
2247.083	0.00447
2247.125	0.00446
2247.167	0.00446
2247.208	0.00446
2247.25	0.00446
2247.292	0.00445
2247.333	0.00445
2247.375	0.00445
2247.417	0.00445
2247.458	0.00444
2247.5	0.00444
2247.542	0.00444
2247.583	0.00444
2247.625	0.00443
2247.667	0.00443
2247.708	0.00443
2247.75	0.00443
2247.792	0.00442
2247.833	0.00442
2247.875	0.00442
2247.917	0.00441
2247.958	0.00441
2248	0.00441
2248.042	0.00441
2248.083	0.0044
2248.125	0.0044
2248.167	0.0044
2248.208	0.00439
2248.25	0.00439
2248.292	0.00439
2248.333	0.00439
2248.375	0.00438
2248.417	0.00438
2248.458	0.00438
2248.5	0.00437
2248.542	0.00437
2248.583	0.00437
2248.625	0.00436
2248.667	0.00436
2248.708	0.00436
2248.75	0.00435
2248.792	0.00435
2248.833	0.00435
2248.875	0.00434
2248.917	0.00434
2248.958	0.00434
2249	0.00433
2249.042	0.00433
